"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Firmicutes|c__Erysipelotrichia",163,230,248,244,86,209,164,224,203,546,362,284,66,299,234,325,377,274,369,126,268,239,169,138,51,161,187,371,95,62,196,41,346,38,54,232,74,37,21,291,293,362,626,30,29,38,123
"d__Bacteria|p__Firmicutes|c__Negativicutes",131814,595173,213836,505138,678141,1903451,103730,190399,59053,983850,335828,230868,85865,687903,410659,521754,524268,1199451,1266398,182250,73975,597600,307249,123664,65248,376155,482419,338648,37948,255899,1566488,170116,361683,133115,120565,369315,13700,8891,19704,960212,203126,83305,125952,13662,89493,1212014,317698
"d__Bacteria|p__Firmicutes|c__Limnochordia",18,12,22,59,1,12,6,31,16,15,28,17,16,49,21,14,28,41,24,14,14,13,20,31,23,55,40,143,51,39,48,49,162,81,18,39,34,10,7,54,64,50,35,12,22,80,115
"d__Bacteria|p__Firmicutes|c__Tissierellia",27928,3497,6994,13939,5061,20751,21142,13739,2652,41896,14048,69470,17516,5957,17087,8635,35132,1220,7633,5326,1759,20399,7091,5367,2318,6276,11887,23945,1574,45187,16899,1830,4839,1269,1445,26045,1272,765,564,5753,6023,75456,23762,1734,1351,16644,6534
"d__Bacteria|p__Deinococcus-Thermus|c__Deinococci",355,561,428,517,93,314,205,497,640,302,455,265,152,739,511,323,462,570,229,224,486,340,481,441,232,801,663,1292,386,190,828,789,1089,919,150,550,278,177,62,584,706,627,1216,99,258,543,761
"d__Bacteria|p__Armatimonadetes|c__Fimbriimonadia",23,6,9,16,3,8,2,37,5,11,4,7,6,5,4,7,34,14,7,11,13,16,7,14,3,11,5,20,5,12,12,22,3,12,6,7,14,1,0,5,15,10,9,9,6,8,24
"d__Bacteria|p__Chloroflexi|c__Chloroflexia",64,120,73,83,9,33,17,27,101,49,74,40,34,63,38,34,50,55,42,92,70,73,55,36,33,98,153,110,38,12,107,140,123,57,13,37,24,10,4,104,63,55,159,15,41,48,98
"d__Bacteria|p__Chloroflexi|c__Thermomicrobia",45,38,31,64,12,41,45,18,51,54,29,42,9,65,51,58,76,53,49,20,62,34,29,52,22,86,83,182,36,12,29,49,105,68,10,56,21,10,3,81,83,79,172,8,50,178,62
"d__Bacteria|p__Chloroflexi|c__Anaerolineae",32,13,1291,52,154,16,35,34,1255,154,44,146,19,86,46,14550,91,9,79,22,25,177,27,13738,32,75,952,46447,16819,36,49,26,31,28,1331,1581,22195,45,260,170,65986,42095,99427,9071,3206,5323,22511
"d__Bacteria|p__Chloroflexi|c__Dehalococcoidia",28,142,96,92,11,46,44,96,41,133,167,54,15,130,100,81,238,90,56,107,43,72,93,66,25,82,73,182,39,7,7,25,49,29,17,66,64,8,8,64,103,112,110,7,36,60,77
