"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus|s__Macrococcus_caseolyticus",3,7,12,3,2,14,5,14,0,55,25,5,4,35,33,16,26,27,6,3,7,5,12,22,13,14,7,25,4,7,22,0,95,0,2,21,1,13,0,24,13,17,17,0,0,9,18
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|s__Staphylococcaceae_bacterium_S31",5,9,14,12,11,40,14,28,4,79,49,3,6,28,57,9,23,71,59,14,14,15,33,41,9,26,12,53,9,6,82,1,83,1,1,7,2,9,0,34,24,14,9,0,1,10,16
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_coagulans",31,38,23,33,15,27,11,19,9,59,26,22,8,15,25,27,53,14,30,16,13,38,15,35,13,41,28,61,22,13,6,4,1,12,9,42,27,2,5,40,38,59,65,4,3,5,29
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_megaterium",1,1,13,9,10,19,7,14,3,17,12,7,3,9,6,20,12,5,3,6,6,12,6,8,9,6,2,14,2,1,21,1,15,0,2,6,25,4,0,8,9,16,15,1,2,3,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_pumilus",42,30,17,38,32,97,20,33,7,59,43,33,18,37,55,24,34,66,100,23,14,52,30,18,13,66,53,32,5,10,20,4,30,4,13,29,7,2,2,48,9,15,14,5,3,9,25
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cellulosilyticus",5,1,5,11,2,20,17,23,3,23,9,2,7,4,9,6,11,31,44,14,2,6,53,10,1,3,14,8,3,0,16,0,3,0,0,0,8,1,2,35,2,5,8,1,0,0,1
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_methanolicus",4,6,8,2,3,3,7,11,5,9,15,35,3,12,14,3,10,4,5,1,2,4,10,7,3,15,12,24,4,2,2,2,20,0,1,9,3,1,4,22,17,12,22,1,4,5,11
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_simplex",24,22,13,1,4,22,20,19,5,80,60,6,4,27,20,21,29,50,43,9,29,12,15,5,20,30,25,14,0,3,4,1,30,3,3,14,0,6,1,38,7,22,8,0,4,7,18
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_smithii",6,8,21,50,6,9,10,13,3,17,12,21,6,8,8,8,24,13,37,6,9,46,15,9,21,30,23,31,6,3,140,7,18,2,6,21,4,5,2,51,17,14,15,0,2,6,12
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_clausii",44,27,16,22,2,9,9,9,5,34,18,37,12,12,18,6,15,16,7,6,6,23,30,33,2,10,14,34,9,1,18,0,13,2,6,11,2,2,0,24,4,1,7,0,0,9,12
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_pseudofirmus",0,11,18,11,9,33,6,11,0,36,37,9,6,23,23,17,16,25,9,7,8,13,22,16,9,12,7,20,3,12,29,6,40,6,3,1,9,9,6,38,5,11,5,10,12,17,16
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_anthracis",4,9,6,3,3,10,6,6,4,17,8,8,7,13,20,7,12,9,19,1,3,11,7,15,5,7,11,6,6,4,9,5,7,2,11,8,17,7,7,10,0,3,0,6,4,4,5
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus",8,6,29,18,29,101,15,43,22,74,47,16,17,47,39,25,34,90,57,17,17,26,39,39,41,30,16,30,26,17,31,13,76,7,16,12,19,19,7,78,25,41,40,13,18,69,37
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_mycoides",0,2,0,0,0,3,0,1,1,3,1,3,1,1,1,0,2,0,2,2,2,1,0,0,0,0,1,1,1,0,1,0,7,0,2,0,0,0,0,2,0,0,1,1,1,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_thuringiensis",13,29,31,16,22,56,37,123,28,97,58,26,12,48,57,44,66,81,38,33,75,43,65,70,19,33,41,43,57,23,68,29,91,28,60,49,37,36,38,48,40,78,39,44,60,43,47
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_weihenstephanensis",1,3,2,7,0,8,1,9,0,16,10,4,0,1,1,2,1,8,3,1,5,3,2,0,5,3,0,3,2,1,12,0,21,1,2,1,1,2,0,17,3,1,0,0,0,0,4
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_toyonensis",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cytotoxicus",1,18,22,30,13,34,15,21,5,65,17,19,18,14,11,33,35,26,40,8,27,28,21,10,1,4,10,24,2,7,31,7,70,5,5,17,4,8,1,47,10,22,22,2,1,3,26
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_flexus",11,25,21,26,4,26,29,41,4,118,71,14,11,42,30,16,30,51,36,16,13,33,15,15,20,33,23,13,3,7,22,1,64,5,1,7,2,5,2,39,14,12,5,2,0,17,8
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_halodurans",7,9,6,5,1,21,5,46,8,15,18,9,2,4,11,8,12,35,9,6,7,16,6,6,3,5,7,4,2,5,3,1,13,3,1,5,3,4,0,7,7,6,3,0,1,0,13
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_OxB-1",0,13,11,19,1,10,6,29,15,9,8,9,0,19,6,4,8,22,11,7,5,11,16,4,2,17,13,12,7,2,22,32,12,17,0,4,4,0,1,14,5,9,1,0,3,4,7
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_endophyticus",3,21,27,14,11,32,9,30,12,41,30,13,4,24,31,15,36,28,42,11,41,12,20,24,5,3,9,46,16,6,80,3,93,5,10,13,10,3,2,39,5,20,18,1,0,6,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_muralis",0,2,6,3,4,5,2,11,9,12,10,12,11,7,11,5,12,32,39,3,6,10,11,2,2,7,6,11,1,1,12,3,8,3,3,5,1,0,2,4,21,19,15,3,3,3,7
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_lehensis",1,8,10,4,11,42,6,4,2,17,12,4,2,13,27,10,10,29,15,2,4,4,4,4,2,6,11,14,1,3,18,3,34,0,1,4,0,2,0,2,7,6,9,0,0,3,11
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_infantis",14,33,7,18,1,6,1,13,1,8,6,9,6,8,10,9,12,3,21,6,10,10,9,6,5,6,8,13,1,3,3,2,16,0,2,6,3,1,0,30,16,13,11,3,5,4,8
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_safensis",2,7,5,18,4,4,9,9,6,15,14,32,11,15,6,7,19,15,5,4,3,13,6,4,3,11,7,10,2,4,32,2,33,4,5,7,1,1,2,15,8,4,10,2,2,3,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_beveridgei",4,11,6,27,3,26,7,18,1,14,10,12,9,22,22,29,29,56,72,30,45,19,39,7,8,40,28,45,4,0,15,15,8,10,9,32,4,0,1,84,11,10,3,0,0,28,18
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_licheniformis",1,0,1,0,0,1,1,0,4,2,1,0,0,4,2,0,1,1,1,1,1,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_subtilis",4,20,17,26,10,29,10,16,10,30,38,9,21,24,20,13,41,25,17,15,13,25,17,9,9,15,19,13,8,7,42,2,39,7,7,11,7,1,3,44,12,19,6,2,3,4,7
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_atrophaeus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_paralicheniformis",11,5,13,2,2,0,4,0,0,11,5,12,10,4,2,6,2,8,2,3,3,5,2,7,0,3,6,39,2,0,2,0,3,1,3,3,12,3,1,23,17,14,22,1,2,1,11
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_amyloliquefaciens",12,15,11,15,10,13,14,54,10,14,7,21,6,30,13,28,37,10,7,3,22,15,6,14,7,33,42,44,4,2,15,7,43,11,3,33,1,1,1,11,49,28,171,3,1,4,14
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_velezensis",5,7,1,2,4,3,2,2,1,6,7,6,4,5,6,6,15,3,12,4,2,10,4,1,0,8,11,3,0,9,0,1,5,2,4,5,1,0,0,2,4,1,0,2,0,1,1
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_bombysepticus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_oceanisediminis",11,18,20,33,16,49,9,28,2,68,33,10,20,26,26,29,35,38,35,39,25,22,62,8,3,8,5,23,3,8,85,2,25,4,5,8,8,2,1,51,11,15,9,2,2,8,12
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_1NLA3E",1,6,12,7,1,6,12,58,2,50,21,7,6,10,12,7,28,98,17,6,9,11,101,12,7,6,5,13,4,3,41,0,40,2,2,2,2,2,1,3,3,11,7,0,1,8,8
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_WP8",0,0,4,0,0,1,0,1,0,4,2,0,0,0,0,4,8,3,2,2,2,6,6,1,0,1,7,2,0,2,3,0,5,0,0,0,0,5,0,3,1,0,0,0,0,3,4
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_JS",1,2,7,4,2,5,2,1,0,11,4,4,6,3,18,5,5,0,5,6,10,0,2,1,0,5,5,0,1,0,5,3,1,0,2,3,0,0,0,26,0,0,0,1,0,1,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_xiamenensis",4,3,9,1,0,2,12,6,1,9,4,3,1,1,15,12,23,1,3,2,4,2,4,14,1,1,1,14,7,2,11,2,6,0,0,5,1,5,0,5,7,13,11,0,0,2,1
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_weihaiensis",10,14,22,6,13,34,7,46,2,57,18,6,5,34,34,21,28,33,13,12,13,12,57,17,3,10,3,22,5,4,20,0,50,0,1,3,3,4,3,12,6,20,10,0,3,10,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_X1(2014)",5,19,18,4,1,29,8,19,1,30,32,4,6,24,13,13,32,30,26,13,41,31,26,2,9,14,4,23,1,8,46,2,56,0,0,11,3,6,2,48,3,11,8,2,2,10,16
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_YP1",1,15,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,7,5,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_LM_4-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_glycinifermentans",7,14,17,6,2,8,10,30,11,33,15,14,7,14,15,8,10,17,6,6,10,19,15,8,13,35,24,23,7,5,6,3,27,5,2,9,8,2,0,15,15,11,22,2,10,50,26
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_SDLI1",7,5,1,12,1,0,0,2,3,1,4,3,1,4,8,6,4,2,2,5,3,5,4,1,1,5,3,3,0,1,2,1,4,0,3,9,1,0,0,4,2,3,2,0,0,1,1
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_FJAT-14266",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_FDAARGOS_235",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_ABP14",0,1,3,2,0,0,0,0,1,9,3,1,0,0,0,1,8,1,0,1,1,2,0,1,0,0,1,0,2,0,0,0,0,0,1,2,0,0,1,11,0,0,0,1,0,2,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_275",0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,6,1,1,0,0,0,0,12,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Amphibacillus|s__Amphibacillus_xylanus",17,12,4,1,3,13,14,82,4,34,18,13,8,17,39,9,52,11,8,11,14,6,1,6,5,8,16,17,2,6,7,0,58,4,1,6,5,4,0,17,8,18,10,0,3,13,9
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus|s__Halobacillus_halophilus",4,22,10,7,5,26,1,17,3,9,6,4,6,14,7,19,22,16,6,14,9,26,4,8,8,15,6,12,3,12,61,2,10,0,3,10,5,1,0,30,8,13,28,0,0,2,9
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Virgibacillus|s__Virgibacillus_halodenitrificans",1,8,7,1,4,18,10,21,1,25,14,11,8,26,4,8,18,15,17,6,2,6,27,5,3,15,16,9,2,5,10,0,66,3,1,4,0,5,0,37,1,0,2,0,0,4,7
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Virgibacillus|s__Virgibacillus_sp_SK37",1,25,7,5,2,6,10,15,4,25,15,1,0,16,24,7,24,12,2,13,3,3,13,5,3,10,10,10,0,0,5,0,4,0,2,2,0,0,0,9,4,3,3,0,0,5,7
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Virgibacillus|s__Virgibacillus_sp_6R",6,6,5,13,6,22,8,25,0,21,10,4,4,12,3,14,34,22,11,3,12,10,14,11,8,15,26,23,4,8,33,1,24,0,4,14,8,2,2,14,8,18,23,4,1,11,3
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_stearothermophilus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_thermodenitrificans",9,10,5,8,5,6,4,8,4,7,8,2,1,8,2,6,4,3,9,12,6,24,8,5,5,13,13,29,12,4,7,11,20,1,3,22,21,2,0,38,9,4,14,0,0,8,12
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_subterraneus",15,20,15,20,0,5,11,13,7,64,70,5,4,24,11,5,10,39,9,8,3,7,19,7,9,37,30,8,6,5,13,40,23,42,1,11,3,1,4,32,12,9,15,2,5,13,18
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_sp_WCH70",5,16,13,21,8,14,12,23,7,23,17,39,12,27,35,10,14,21,22,8,8,41,19,9,5,16,7,19,4,1,21,0,24,11,1,9,3,2,5,19,3,3,2,1,20,13,15
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_sp_Y41MC1",5,3,7,5,0,0,0,0,22,3,2,2,1,8,5,17,9,0,1,0,0,0,0,1,0,7,5,12,0,0,1,0,5,0,1,14,0,0,0,15,23,33,125,0,2,0,8
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_sp_C56-T3",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,5,0,0,1,0,0,0,0,0,2,0,3
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_sp_GHH01",5,5,0,0,0,2,3,4,0,3,4,2,0,1,0,1,1,1,1,0,2,1,2,1,0,2,3,1,1,9,2,0,22,1,0,1,0,1,0,0,1,2,1,0,1,1,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_kaustophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_thermoleovorans",2,6,4,6,5,27,7,90,53,10,14,4,5,46,18,2,34,42,18,0,2,28,58,1,12,17,94,12,3,0,5,3,12,0,0,2,0,0,2,6,3,1,1,0,0,1,13
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_sp_JS12",8,10,29,29,1,1,7,5,16,3,8,1,0,22,4,2,5,2,13,9,33,2,6,0,8,10,18,21,2,2,0,0,0,1,0,5,3,1,2,9,5,3,15,2,1,0,3
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_genomosp_3",7,12,7,20,3,10,8,20,16,21,31,4,1,32,10,8,14,17,10,1,2,11,12,33,5,9,5,29,9,2,5,11,21,11,1,28,6,0,1,3,14,14,13,2,0,18,18
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Anoxybacillus|s__Anoxybacillus_flavithermus",9,9,12,18,6,7,1,11,2,24,10,4,0,11,8,8,14,65,19,6,3,10,77,8,5,9,18,8,4,8,4,9,37,7,7,12,5,4,1,14,2,4,7,3,2,4,16
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Anoxybacillus|s__Anoxybacillus_gonensis",3,6,10,12,2,7,4,10,0,28,2,13,5,6,10,7,14,2,13,3,10,3,4,8,3,2,4,12,1,1,19,1,25,0,3,7,3,1,1,17,8,14,13,0,3,8,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Anoxybacillus|s__Anoxybacillus_amylolyticus",9,16,32,17,12,22,10,35,52,40,22,18,6,3,11,37,38,22,22,10,37,29,152,16,6,23,22,44,1,0,29,18,21,9,4,9,3,0,1,16,9,13,86,3,1,3,11
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lentibacillus|s__Lentibacillus_amyloliquefaciens",13,37,5,9,0,3,1,2,2,4,0,15,5,2,3,7,9,6,28,9,3,14,6,4,0,4,9,9,1,0,1,0,0,1,1,15,4,0,0,21,12,24,18,1,2,14,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_iheyensis",2,2,3,3,3,16,6,7,3,23,11,7,13,3,2,7,11,6,12,0,4,5,20,3,1,1,5,6,1,1,8,4,23,5,4,5,0,2,1,35,2,9,10,0,0,3,7
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salimicrobium|s__Salimicrobium_jeotgali",1,2,3,3,2,2,8,32,6,22,9,2,3,16,9,14,23,21,15,12,28,7,5,1,3,8,10,9,3,2,5,1,14,1,1,3,2,2,0,14,8,7,4,1,0,1,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sphaericus",16,18,21,16,2,22,10,20,3,40,18,28,13,20,21,9,28,29,12,13,14,17,4,13,21,38,26,24,9,6,14,29,73,52,8,8,9,7,3,60,13,12,4,7,8,14,19
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_fusiformis",7,23,10,21,5,11,2,12,3,32,18,21,10,22,21,17,23,16,34,9,16,7,15,3,6,9,5,7,1,6,17,6,26,5,4,8,3,1,1,28,3,4,6,1,1,9,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_varians",7,19,26,2,8,33,4,13,1,63,17,8,3,16,17,24,28,13,24,13,13,10,8,9,3,5,5,26,4,2,29,1,36,0,4,6,5,7,2,30,9,13,10,1,1,9,12
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus|s__Terribacillus_aidingensis",3,6,13,6,7,19,11,23,0,39,14,4,9,16,22,25,27,28,19,7,8,4,13,19,11,9,17,21,6,11,1,3,15,4,1,7,2,5,1,28,18,16,24,0,0,0,14
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Fictibacillus|s__Fictibacillus_arsenicus",21,30,6,11,1,3,7,18,3,16,11,10,1,15,16,18,17,35,20,7,3,8,1,5,1,9,11,9,2,2,16,2,24,1,4,7,9,6,2,9,3,3,5,1,0,13,3
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Fictibacillus|s__Fictibacillus_phosphorivorans",2,7,7,2,3,15,9,11,3,30,15,10,2,8,13,7,12,20,17,3,2,4,4,17,5,2,3,10,3,1,26,0,20,0,3,5,6,2,3,23,7,12,9,1,0,8,1
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Parageobacillus|s__Parageobacillus_thermoglucosidans",0,0,8,0,0,3,1,2,0,2,1,1,0,3,1,0,0,0,1,0,0,1,3,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_kocurii",16,15,0,1,0,0,4,16,68,3,2,0,0,0,2,1,8,5,15,2,69,0,0,1,0,0,1,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_antarcticus",14,8,7,20,1,10,6,11,3,25,6,4,1,4,4,19,20,5,17,4,4,9,37,8,0,7,4,21,3,2,9,2,4,5,5,13,1,0,0,7,17,28,26,2,0,3,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_maritimus",19,3,11,15,16,22,2,16,12,11,21,19,16,27,39,17,23,23,21,7,16,25,19,9,9,29,27,24,8,6,58,5,34,4,4,11,13,5,2,68,31,37,96,1,2,12,12
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_rifietoensis",7,3,10,15,0,1,6,4,4,6,10,7,6,4,6,5,1,3,3,4,10,6,6,3,2,7,3,19,6,0,1,0,0,0,6,15,2,0,0,49,5,5,3,3,2,2,15
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_donghaensis",1,0,4,1,1,4,12,20,0,8,9,2,1,3,1,5,8,6,5,3,2,5,2,4,2,7,2,3,0,1,2,1,19,0,4,2,1,1,0,10,4,8,8,0,2,1,2
